"","GSM431121","GSM431122","GSM431123","GSM431124","GSM431125","GSM431126"
"205064_at",4.86145462685264,4.67421978963082,14.4426648678978,14.4425172924476,14.5199662021178,14.3397627379287
"213680_at",6.6117453284596,5.28503391247692,15.1457233828198,15.1187088273219,15.1898701816137,15.1531099957477
"213796_at",4.49886402942428,4.41775271743414,13.7107197660982,13.5913095766067,13.6709314899601,13.8126603288933
"205778_at",5.05284165938587,5.1465347799131,14.3270058039453,14.3387143297812,14.2865624721613,14.1424752390762
"214549_x_at",5.16897833386634,5.3707591408772,14.287207031117,14.2220136138437,14.3341138222342,14.319409103573
"212531_at",5.46759091244116,5.26165729787369,14.2947015780392,14.2954120901165,14.2027262008168,13.9765328053164
"209792_s_at",5.26263792242971,5.17500990148387,14.097199016003,14.0594660352095,14.0119878956427,14.0029551433884
"208650_s_at",4.74776810113194,4.94061331531006,13.4902847547588,13.6716552040534,13.7305975720944,13.5579116979788
"215076_s_at",13.9567830259122,14.2299926709166,4.96777158153723,5.01948170830845,5.52927400554911,6.09554793525382
"209772_s_at",4.98178816931546,4.89628472884829,13.5027104176986,13.477147965138,13.4091058855401,13.3474883532612
"201852_x_at",13.1964519774617,13.4855996866202,4.87047320419867,4.8375245135523,5.08938969209486,5.14501143822431
"216379_x_at",5.98674740599612,5.50520001119834,14.0304412138589,14.0656084259403,14.0793726580979,13.9727779220408
"201131_s_at",4.17510124570783,4.23002674751266,12.442387258455,12.3405036703112,12.5310365147631,12.4034189612103
"208539_x_at",6.42803759224499,5.35710807712087,14.1162822205294,14.1212145966287,14.0840734706724,14.0038877292343
"209771_x_at",5.73642738070791,5.75850734955611,13.9048706404777,13.8723044092146,13.9465334770891,13.8388255537731
"210074_at",6.32805548518579,6.87294747417306,14.7124616558582,14.6944431779499,14.7491610526803,14.6140117905152
"205916_at",4.88733169097142,4.56184281288755,12.487015340639,12.4971938781125,12.5124565628981,13.1677604838739
"211161_s_at",12.3067173119952,12.4741298233952,4.25897882840683,4.49280430610379,4.5107861971789,4.87961917845927
"202489_s_at",5.81075358714701,5.75937649412573,13.5947749360723,13.5560920886174,13.5650696756848,13.5868587138298
"218677_at",5.36723344981361,5.7633215548745,13.3478385758081,13.3041080182116,13.3936477571256,13.200356308118
"203088_at",12.8283999057411,13.2075608871333,5.2302742527465,4.72261202711123,5.04535257887381,7.06583451615639
"203021_at",5.85565205445838,6.08062105683895,13.5833890796126,13.5833890796126,13.5844152764599,13.777424973962
"222242_s_at",5.94153668223344,6.25495182509058,13.8150961182801,13.7696089360355,13.658083070706,13.6224872981857
"201839_s_at",4.23348869212572,4.46946491220324,12.0013319853573,11.9410380137809,12.0296845270568,11.7455696004551
"208651_x_at",4.90935567870692,5.92710980628317,12.9510711742868,12.9230436678,12.9309453675772,12.8643101625301
"204614_at",4.65799047579801,4.32623455893278,12.0378743684298,11.9425273278942,12.0860569910884,11.9198783611254
"266_s_at",4.83268392589842,4.62488021271833,12.3000592026298,12.1818849524035,12.2898490497683,12.1278685241524
"207935_s_at",4.08437534128877,4.04917103319848,11.4703078924973,11.5152620755432,11.4703078924973,11.6686881555114
"206125_s_at",4.1316697554644,4.11657785206495,11.5435297411424,11.6105404164673,11.5011931424924,11.5852055166027
"219121_s_at",4.45934883901141,4.37962507958021,11.8755005929191,11.8445511539773,11.8298555437162,11.6131115377672
"201438_at",12.7451559971141,12.714232183195,5.08913375737784,5.12032505714506,5.24940931611612,6.26232399669313
"204734_at",6.42555756974417,7.56613764734878,14.2504255068716,14.2993120160626,14.3354258507526,14.2222734985025
"218186_at",4.31679906422074,4.35732338690138,11.5780004761499,11.5884349565619,11.5536987177454,11.4968732401613
"213711_at",5.6607705171709,5.46291710513361,12.7071545873008,12.6903096679457,12.7154253685212,12.5576278651134
"218990_s_at",4.40894227580338,4.60137212972687,11.5711276605294,11.5767651919654,11.4954895541379,11.5536946106237
"206595_at",5.4202970405381,6.03747694517785,12.8735712469133,12.8136691275312,12.818393461466,12.3464594283045
"209301_at",4.69109911616783,4.21741992412653,11.4361956109528,11.4041748023249,11.3769289013043,11.5732156468563
"220431_at",4.28349035310072,4.37518275024426,11.4303047493967,11.3802030945385,11.2993661130713,11.0801762636911
"206421_s_at",5.60530938217136,6.05252435870738,12.7716617985394,12.6775716287747,12.6775716287747,12.7470990319867
"202291_s_at",12.0882497543198,12.8044864875425,5.6508693103657,5.80645007165917,5.72960864185681,5.4933930279167
"202403_s_at",11.3638154223191,12.6851579200619,5.18300700744896,5.33756547675158,5.28458459134886,5.32562697918406
"200795_at",11.7093446414202,11.4434819258522,4.71464712015451,4.78040502661893,5.27498814069353,4.64092093738502
"204351_at",8.58833515238498,5.74301982321393,13.6497984460585,13.6856915814422,13.6138512840576,13.6159814417828
"209392_at",11.0899438408267,11.484614448028,4.27635378634651,4.25897016442029,4.5359984430713,5.79525876848114
"209800_at",7.34318481451287,7.21266144389621,13.8598561278014,13.8300557481497,13.8909203032497,13.7237936144239
"203108_at",5.51715313137498,5.68554053271701,12.1718161349244,12.1442690434245,12.236861606758,11.9576079723209
"204750_s_at",5.80638162250646,6.1881658572208,12.5667614744939,12.4307865742588,12.5703498956103,12.4037319253634
"212657_s_at",4.33089769175595,4.76490784086237,11.112819645936,10.9834389522902,11.0416945424014,11.0153184736148
"215729_s_at",4.62111381729932,4.28001730809742,10.9338697681414,11.0274645714589,10.8687154881718,10.7865244115621
"219476_at",4.14437597309139,4.50888836923153,10.8480869070354,10.7422646225681,10.7648294990797,10.7313824980271
